"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.date","EHDSAdvanceDirective.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.status","EHDSAdvanceDirective.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource.","Status of the resource.","","","","","","","","","",,"required","HL7 Consent State","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.header.language","EHDSAdvanceDirective.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.category","EHDSAdvanceDirective.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.","Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSAdvanceDirective.category",0,*,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.directiveType","EHDSAdvanceDirective.directiveType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The type of advance directive, indicating whether it applies before or after death.","The type of advance directive, indicating whether it applies before or after death.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSAdvanceDirective.directiveType",0,*,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.note","EHDSAdvanceDirective.note","","","",0,1,"","","","string {[]} {[]}
","Textual description of the directive.","Textual description of the directive.","","","","","","","","","",,,,,"",,,,"EHDSAdvanceDirective.note",0,1,"",""
"EHDSAdvanceDirective","EHDSAdvanceDirective.attachment","EHDSAdvanceDirective.attachment","","","",0,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSAttachment {[]} {[]}
","Source document, such as a PDF, with the living will and the patient's signature.","Source document, such as a PDF, with the living will and the patient's signature.","","","","","","","","","",,,,,"",,,,"EHDSAdvanceDirective.attachment",0,1,"",""
"EHDSAlert","EHDSAlert","EHDSAlert","","","",0,*,"","","","null {[]} {[]}
","Alert model","EHDSAlert means a structured set of data elements describing a clinically relevant fact about a patient that requires attention during a healthcare encounter in order to ensure patient safety or prevent adverse outcomes, including, but not limited to, intolerances, rare diseases requiring special management, implanted devices, ongoing special treatments, transplanted organs, or participation in a clinical trial.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EHDSAlert","EHDSAlert.header","EHDSAlert.header","","","",1,1,"","","","Base {[]} {[]}
","Current status of the alert.","Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSAlert","EHDSAlert.header.subject","EHDSAlert.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
